2031510001,77
2031510002,84
2031510003,59
2031510004,95
2031510005,67
2031510006,99
2031510007,77
2031510008,74
2031510009,74
2031510010,81
2031510011,65
2031510012,94
2031510013,99
2031510014,78
2031510015,94
2031510016,89
2031510017,96
2031510018,56
2031510019,87
2031510020,95
2031510021,54
2031510022,89
2031510023,58
2031510024,51
2031510025,85
2031510026,72
2031510027,58
2031510028,52
2031510029,56
2031510030,52
2031510031,72
2031510032,71
2031510033,82
2031510034,50
2031510035,97
2031510036,84
2031510037,52
2031510038,89
2031510039,68
2031510040,90
2031510041,50
2031510042,59
2031510043,97
2031510044,66
2031510045,94
2031510046,58
2031510047,85
2031510048,86
2031510049,69
2031510050,62
2031510051,64
2031510052,85
2031510053,75
2031510054,77
2031510055,89
2031510056,92
2031510057,94
2031510058,79
2031510059,80
2031510060,77
2031510061,68
2031510062,97
2031510063,94
2031510064,53
2031510065,81
2031510066,76
2031510067,50
2031510068,62
2031510069,82
2031510070,79
2031510071,89
2031510072,75
2031510073,54
2031510074,80
2031510075,65
2031510076,71
2031510077,67
2031510078,58
2031510079,52
2031510080,87
2031510081,93
2031510082,94
2031510083,59
2031510084,56
2031510085,71
2031510086,86
2031510087,71
2031510088,93
2031510089,79
2031510090,58
2031510091,62
2031510092,56
2031510093,60
2031510094,74
2031510095,98
2031510096,51
2031510097,52
2031510098,81
2031510099,51
2031510100,65
2031510101,74
2031510102,57
2031510103,84
2031510104,69
2031510105,51
2031510106,64
2031510107,51
2031510108,70
2031510109,92
2031510110,91
2031510111,99
2031510112,71
2031510113,93
2031510114,92
2031510115,63
2031510116,97
2031510117,83
2031510118,81
2031510119,92
2031510120,83
2031510121,58
2031510122,64
2031510123,54
2031510124,54
2031510125,94
2031510126,75
2031510127,63
2031510128,71
2031510129,65
2031510130,55
2031510131,55
2031510132,51
2031510133,65
2031510134,56
2031510135,63
2031510136,72
2031510137,61
2031510138,59
2031510139,76
2031510140,64
2031510141,75
2031510142,64
2031510143,73
2031510144,63
2031510145,93
2031510146,70
2031510147,89
2031510148,61
2031510149,92
2031510150,98
2031510151,98
2031510152,81
2031510153,62
2031510154,68
2031510155,54
2031510156,84
2031510157,79
2031510158,92
2031510159,50
2031510160,83
2031510161,66
2031510162,88
2031510163,71
2031510164,87
2031510165,75
2031510166,88
2031510167,95
2031510168,87
2031510169,57
2031510170,82
2031510171,55
2031510172,66
2031510173,73
2031510174,53
2031510175,89
2031510176,73
2031510177,64
2031510178,71
2031510179,83
2031510180,62
2031510181,80
2031510182,67
2031510183,64
2031510184,73
2031510185,65
2031510186,61
2031510187,82
2031510188,55
2031510189,51
2031510190,87
2031510191,72
2031510192,75
2031510193,67
2031510194,78
2031510195,69
2031510196,75
2031510197,54
2031510198,70
2031510199,57
2031510200,70
